"X1","X2"
"Coez","Night Skinny"
"Coez","Big Joe"
"Coez","Gemitaiz"
"Coez","Sottotono"
"Coez","Gemello"
"Coez","Noyz Narcos"
"Coez","Sick Luke"
"Coez","Guè"
"Coez","Laila Al Habash"
"Coez","TROPICO"
"Coez","Sottotono"
"Coez","DJ Gengis"
"Coez","Sottotono"
"Coez","Neffa"
"Coez","Holden"
"Coez","Ceri"
"Coez","DOLA"
"Coez","The Bluebeaters"
"Coez","BLOODY VINYL"
"Coez","Achille Lauro"
"Coez","DOLA"
"Coez","KID VICIOUS"
"Coez","Marracash"
"Coez","The Bluebeaters"
"Coez","Salmo"
"Coez","Subsonica"
"Coez","Gianna Nannini"
"Coez","Marracash"
"Coez","Lucci"
"Coez","Frenetik&Orang3"
"Coez","Don Diegoh"
"Coez","Salmo"
"Coez","Cor Veleno"
"Coez","Carl Brave"
"Coez","Gemitaiz"
"Coez","Noyz Narcos"
"Coez","MadMan"
"Coez","MadMan"
"Coez","Achille Lauro"
"Coez","Er Costa"
"Coez","Gemello"
"Coez","Achille Lauro"
"Coez","Emis Killa"
"Coez","Various Artists"
"Coez","Marracash"
"Coez","Marracash"
"Coez","Tormento"
"Coez","Clementino"
"Coez","Marracash"
"Coez","Achille Lauro"
"Coez","Gemitaiz"
"Coez","Lucci"
"Coez","Lucci"
"Coez","Lucci"
"Coez","Gemitaiz"
"Coez","Gemello"
"Coez","Tormento"
"Coez","Fratelli Quintale"
"Coez","Killa Cali"
"Coez","3D"
"Coez","Ceri"
"Coez","3D"
"Coez","Brokenspeakers"
"Coez","Brokenspeakers"
"Tedua","Rose Villain"
"Tedua","Sick Luke"
"Tedua","Shiva"
"Tedua","Night Skinny"
"Tedua","Night Skinny"
"Tedua","Mara Sattei"
"Tedua","Sick Luke"
"Tedua","Fedez"
"Tedua","Tony Effe"
"Tedua","Inoki"
"Tedua","Disme"
"Tedua","Gaia"
"Tedua","Tony Effe"
"Tedua","Tony Effe"
"Tedua","Speranza"
"Tedua","Baby K"
"Tedua","Tony Effe"
"Tedua","Ernia"
"Tedua","DrefGold"
"Tedua","Emis Killa"
"Tedua","Ernia"
"Tedua","Inoki"
"Tedua","Gianni Bismark"
"Tedua","Disme"
"Tedua","Speranza"
"Tedua","Gianni Bismark"
"Tedua","Gianni Bismark"
"Tedua","Emis Killa"
"Tedua","Gianni Bismark"
"Tedua","Dark Polo Gang"
"Tedua","Vaz Tè"
"Tedua","Bresh"
"Tedua","Ketama126"
"Tedua","Ernia"
"Tedua","DrefGold"
"Tedua","Gianni Bismark"
"Tedua","Gianni Bismark"
"Tedua","Bresh"
"Tedua","Enzo Dong"
"Tedua","Ketama126"
"Tedua","Mecna"
"Tedua","Enzo Dong"
"Tedua","Lazza"
"Tedua","Lazza"
"Tedua","Night Skinny"
"Tedua","MACHETE"
"Tedua","Ernia"
"Tedua","Lazza"
"Tedua","Fedez"
"Tedua","Ernia"
"Tedua","Rkomi"
"Tedua","Nader Shah"
"Tedua","Night Skinny"
"Tedua","Izi"
"Tedua","Laïoung"
"Tedua","Laïoung"
"Tedua","Dargen D'Amico"
"Tedua","Charlie Charles"
"Tedua","Tobe"
"Tedua","Dark Polo Gang"
"Tedua","Rkomi"
"Tedua","Laïoung"
"Night Skinny","Paky"
"Night Skinny","Paky"
"Night Skinny","Rkomi"
"Night Skinny","Salmo"
"Night Skinny","Rkomi"
"Night Skinny","Noyz Narcos"
"Night Skinny","Rasty Kilo"
"Night Skinny","Rkomi"
"Night Skinny","Rkomi"
"Night Skinny","Rkomi"
"Night Skinny","Speranza"
"Night Skinny","Ernia"
"Night Skinny","Guè"
"Night Skinny","Guè"
"Night Skinny","Speranza"
"Night Skinny","Ketama126"
"Night Skinny","Side Baby"
"Night Skinny","Rkomi"
"Night Skinny","Noyz Narcos"
"Fabri Fibra","Emis Killa"
"Fabri Fibra","Sick Luke"
"Fabri Fibra","Deda"
"Fabri Fibra","Night Skinny"
"Fabri Fibra","Night Skinny"
"Fabri Fibra","SLF"
"Fabri Fibra","CanovA"
"Fabri Fibra","Grido"
"Fabri Fibra","Sottotono"
"Fabri Fibra","SLF"
"Fabri Fibra","SLF"
"Fabri Fibra","Sick Luke"
"Fabri Fibra","Rocco Hunt"
"Fabri Fibra","Sottotono"
"Fabri Fibra","Laïoung"
"Fabri Fibra","Madame"
"Fabri Fibra","Sottotono"
"Fabri Fibra","Ernia"
"Fabri Fibra","Not Good"
"Fabri Fibra","Nerone"
"Fabri Fibra","Francesca Michielin"
"Fabri Fibra","Emis Killa"
"Fabri Fibra","Nitro"
"Fabri Fibra","Laïoung"
"Fabri Fibra","Ernia"
"Fabri Fibra","Gemitaiz"
"Fabri Fibra","Izi"
"Fabri Fibra","BLOODY VINYL"
"Fabri Fibra","Emis Killa"
"Fabri Fibra","thasup"
"Fabri Fibra","Nerone"
"Fabri Fibra","Ketama126"
"Fabri Fibra","Ernia"
"Fabri Fibra","Dani Faiv"
"Fabri Fibra","Elodie"
"Fabri Fibra","Francesca Michielin"
"Fabri Fibra","Nitro"
"Fabri Fibra","Nitro"
"Fabri Fibra","Salmo"
"Fabri Fibra","thasup"
"Fabri Fibra","Vegas Jones"
"Fabri Fibra","DJ Alvin"
"Fabri Fibra","Enzo Dong"
"Fabri Fibra","Ketama126"
"Fabri Fibra","Lazza"
"Fabri Fibra","Bassi Maestro"
"Fabri Fibra","MACHETE"
"Fabri Fibra","Night Skinny"
"Fabri Fibra","MACHETE"
"Fabri Fibra","Clementino"
"Fabri Fibra","Charlie Charles"
"Fabri Fibra","Clementino"
"Fabri Fibra","Lazza"
"Fabri Fibra","Mahmood"
"Fabri Fibra","Big Fish"
"Fabri Fibra","Boomdabash"
"Fabri Fibra","Quentin40"
"Fabri Fibra","Salmo"
