"X1","X2","X3","X4","X5","X6","X7"
"5FkcU4BVzPptuB6AjobZIL","Taxi B",80520,1,52,"hip-hop","artist"
"46zGU1FOSsPBXb1csAeMJd","Theø",19753,1,52,"hip-hop","artist"
"3yNjXWi2WswJfuBZSouJRH","Zefe",55195,1,51,"hip-hop","artist"
"2n0Ki4A5tKTEloq3WCt1IH","Samurai Jay",129705,1,51,"hip-hop","artist"
"0EUR8jz8L936AEbV2Spkca","Kid Yugi",8066,1,50,"hip-hop","artist"
"65ddsrNChT3wol9kEIJqKY","Vaz Tè",32090,1,51,"hip-hop","artist"
"2KLafS2cc489GVGuYm5aE2","Don Pero",11656,1,52,"hip-hop","artist"
"2CFSNUGQpQF9w7UhYIpKVY","Cancun",5182,1,51,"hip-hop","artist"
"5WBincqAirIREkG5sXqeyq","Low Kidd",39700,1,51,"hip-hop","artist"
"2Pr26KMbfrX8zb8Vk6jFHe","Mida",14572,1,51,"hip-hop","artist"
"4TKF8KSK6bgHgszFxu5xzu","Diss Gacha",16281,1,51,"hip-hop","artist"
"6p2OF8M4ob4KovaU0SUX4b","Carl Brave x Franco126",551696,1,52,"hip-hop","artist"
"65U1A6j2pIHfZXLoitJFXz","Claver Gold",93102,1,50,"hip-hop","artist"
"1UAY1hWd5x69hPVXMXIeri","Murubutu",136491,1,50,"hip-hop","artist"
"1UCxzrM5WJh9ure5vCcsim","Charlie Charles",496773,1,51,"hip-hop","artist"
"7rccKwEbDm4PjYBEZFEm3A","Thelonious B.",56259,1,50,"hip-hop","artist"
"0rq5wppHKGTFcdl8da5ODZ","Philip",43703,1,51,"hip-hop","artist"
"7iCdyOeJYk06mKJ6nLrFQ6","Enzo Dong",307939,1,50,"hip-hop","artist"
"5tBnK7LvBMgvkXuePtfywp","lowlow",454349,1,50,"hip-hop","artist"
"63iLDTZb43E6k8Ign6voma","Quentin40",146306,1,50,"hip-hop","artist"
"5pbBGJlVCUzwmdfd1Q1tEX","En?gma",185159,1,49,"hip-hop","artist"
"0vZAzVAFQL1gKLBPfnXMaS","Jack The Smoker",92833,1,48,"hip-hop","artist"
"59rqdbDiB9oXuZggah1syh","Bello Figo",86838,1,48,"hip-hop","artist"
"6dKdNHGdsBvEeNDxXV8AMP","Ensi",209846,1,48,"hip-hop","artist"
"4k6hMjEI3XFfMcRLCa9yd3","Radical",54310,1,49,"hip-hop","artist"
"2lkP8239tkwRjg5N7d2D0w","Frenetik&Orang3",47942,1,49,"hip-hop","artist"
"7kG6A2lZMXeaD5YkubF5Kn","Nerone",158284,1,48,"hip-hop","artist"
"47RMRcPX8zWGaiMSZRuOd4","Highsnob",259408,1,48,"hip-hop","artist"
"17O59ptnhN9Fgur5zIt051","Lil Busso",29392,1,47,"hip-hop","artist"
"0W0oW3iaBwbtcXqdDrfC6F","Speranza",56813,1,48,"hip-hop","artist"
"0nKxW51VOD6px2uMM4ehfF","Inoki",151475,1,47,"hip-hop","artist"
"215ciYy7TIYnGRim0I1nJ3","JUNIOR CALLY",373669,1,47,"hip-hop","artist"
"08ppjXEpROUgrG1X0DEquB","Nerissima Serpe",11069,1,47,"hip-hop","artist"
"3QJjzLwRMgdGoFwzmVodxJ","L'Elfo",72824,1,47,"hip-hop","artist"
"1BvLhDkql2F6d4G5aaajY2","Jamil",152960,1,47,"hip-hop","artist"
"3GNq6JwYWh8B2xujy6ub04","Gemello",87895,1,47,"hip-hop","artist"
"3XTUciJcdix4GkO9YoBdtP","Holden",98079,1,47,"hip-hop","artist"
"5OzBpKiOsMFpuwvbJpUGce","Chicoria",49930,1,46,"hip-hop","artist"
"6VSx5Yd2AO0fhm0h6xxeGi","NDG",23955,1,48,"hip-hop","artist"
"6udpKGzl85NuBEkZqOXiYB","Zoda",181635,1,46,"hip-hop","artist"
"6g5SF1Yz63eoPUnJgRHfrz","Hell Raton",59544,1,47,"hip-hop","artist"
"4nXNT34X5GQ8yTBttXtbY6","Chadia Rodriguez",250879,1,47,"hip-hop","artist"
"4sQiXz6GYok2zyqMSHG0MX","Bassi Maestro",229482,1,46,"hip-hop","artist"
"4kzy5r1zhu4jC0LhQ15nti","Zyrtck",22351,1,46,"hip-hop","artist"
"3iYwsCmyIpFw5GLKwL6V77","Babaman",184227,1,46,"hip-hop","artist"
"0xgcFVaTrkdF6zEqV33f4E","Poli Ok",54285,1,46,"hip-hop","artist"
"3l9OOqBvHs4SM91bWqtaQb","yungest Moonstar",48423,1,45,"hip-hop","artist"
"7fE7lNK6tsXhCOfYfxQ3wT","Axos",120039,1,45,"hip-hop","artist"
"30oT4GEn5oMpWQE7RaHQTE","Noyz Narcos & Fritz Da Cat",59383,1,46,"hip-hop","artist"
"4WCGWBfRK9jWrDtxj4Qdel","Cicco Sanchez",73048,1,47,"hip-hop","artist"
"46hvAixyF8ZVEssLifxnHd","Ticky B",7119,1,45,"hip-hop","artist"
"0W7yEx7tCUH0FGMHB3DUL8","Rasty Kilo",40794,1,44,"hip-hop","artist"
"6JV9OrfLS1nkVkAYl0naok","Nello Taver",53388,1,44,"hip-hop","artist"
"0jT2eOThoVRjBt35kG86jK","Kermit",1141,1,44,"hip-hop","artist"
"2Nl7TO1yi0ambHrlfQORgv","Young Rame",52167,1,45,"hip-hop","artist"
"4lajcWQSiNMQ4b76eevJ5f","Simone Panetti",42776,1,45,"hip-hop","artist"
"7MeFbKQT6w9iBMLuHmzVVW","Real Talk",33247,1,44,"hip-hop","artist"
"3eBlbhY21Q1L6xwbVMCQa1","Mikush",23536,1,45,"hip-hop","artist"
"3hCo0MeLrjAvQxAzPknjhK","Mattak",29142,1,44,"hip-hop","artist"
"0MnomJDrX3FmjLCNuTLfz6","SAC1",88496,1,44,"hip-hop","artist"
"1q4ioEGGMSQFjAt24zkXkX","LUCHITOS",26265,1,44,"hip-hop","artist"
"10qaAJjsY1PMDwPnNwHKMz","DJ Shocca",9778,1,44,"hip-hop","artist"
"4zAJfp9POACU7sGK8EoMrl","Danti",69354,1,45,"hip-hop","artist"
"0inlLzcyWLbJbPZuMzfTPt","Delaruà",14135,1,43,"hip-hop","artist"
"796NCMJ5AQMdnutcb8EVeJ","FUCKYOURCLIQUE",13057,1,43,"hip-hop","artist"
"4BrB1p7x1IT8ssky6wdOPT","Priestess",57293,1,43,"hip-hop","artist"
"5wlZkgwhLD0Zbsj1sH99Dw","DJ Fastcut",26916,1,42,"hip-hop","artist"
"4lXqyfnO42fw7mPGF5ZXjR","Vacca",225263,1,42,"hip-hop","artist"
"6ZpOQK1OKdCybuOgMkdbUh","Beba",217391,1,42,"hip-hop","artist"
"7gW7vauTRIrz3rRV2UFzyK","Oliver Green",15662,1,42,"hip-hop","artist"
"3xaOS4EuhPKa2wV01mH7oe","Nex Cassel",22589,1,41,"hip-hop","artist"
"1Xn1GTJkWC9sRBzk9A8Jms","Cranio Randagio",98567,1,42,"hip-hop","artist"
"7H9TcusDoz60eSTxB0Avxn","Blue Virus",53297,1,41,"hip-hop","artist"
"78tkEnghpGYk8stmKlkxbv","Chakra",47118,1,41,"hip-hop","artist"
"4xgOj3GP5I1do9ip0MQkLa","Ghemon",144003,1,42,"hip-hop","artist"
"0QJ3p787u7KD0ZhD5vzrCA","Anastasio",112512,1,41,"hip-hop","artist"
"2OAmo9IbfDhgPommOAgXqu","Anzj",15111,1,42,"hip-hop","artist"
"4CSFu5TxKb1Z2GeO1LxZU4","Egreen",35303,1,40,"hip-hop","artist"
"2av4MrhPDUQLG3py1i0h7L","Tormento",27106,1,40,"hip-hop","artist"
"4FiPwqm4GHYuJyldqILugY","Wayne Santana",15275,1,41,"hip-hop","artist"
"7DR9xoJx5h6hvrtNFXiuly","LGND",1277,1,40,"hip-hop","artist"
"0Y0lt6UuYcT4C6uldl4yqm","Tony Amatore",338,1,40,"hip-hop","artist"
"2u5doTfPeC2gnLwislKGLE","Sapobully",61550,1,40,"hip-hop","artist"
"0C47YN6zg3vCNA2gIScdgW","99 Posse",184548,1,42,"hip-hop","artist"
"3co0PkJ0FkzdkjRPkBf9WM","Tauro Boys",48496,1,40,"hip-hop","artist"
"0NmtgATbZcejMnRU5ixeSs","G.bit",109503,1,39,"hip-hop","artist"
"0H4qKbzvpxPEz0Vbm7ULo4","Metal Carter",24016,1,39,"hip-hop","artist"
"2OFhu1uXhK8gutkt7QcF2R","Cor Veleno",80850,1,39,"hip-hop","artist"
"4KN711o3mFp6SBoV6ApRmG","Deda",2545,1,39,"hip-hop","artist"
"15tvxTXbemwnKQq1aRoPpI","Frankie HI-NRG MC",96244,1,41,"hip-hop","artist"
"64J8DKMWjl0AxL30tawsLh","Nesli",172752,1,39,"hip-hop","artist"
"4RrtqH6egYYBfJrnLkhINz","Laïoung",238644,1,40,"hip-hop","artist"
"4r64DBNfhWlXinhF5PAhpg","Drone126",17350,1,39,"hip-hop","artist"
"7582dstv99hhZhryUNCn3u","Colle Der Fomento",114693,1,38,"hip-hop","artist"
"0agw9rAVju2v0Ot1OHYt7O","DJ Myke",9646,1,37,"hip-hop","artist"
"5LYqEWbQrBZ7Z808fRIdbb","Santana MOE",46901,1,38,"hip-hop","artist"
"58NmlBgLNN4d5gMVfnZT3Q","Mistaman",74807,1,37,"hip-hop","artist"
"4WdCVm6hL5quAfNhZzCB1s","Warez",10823,1,37,"hip-hop","artist"
"2BYuUplSlEUC7pg9W05d3F","Sina",11791,1,38,"hip-hop","artist"
"2u9Wpl7T6gCu1t3ymd6aXL","IRBIS 37",17237,1,38,"hip-hop","artist"
"5027tm2USoMfZicCl3mYFw","DAYTONA KK",24294,1,37,"hip-hop","artist"
"4f4ERDE3xkOakb8zOnlaRp","DJ Gengis",3805,1,37,"hip-hop","artist"
"0mWyVQ7sv9hxOYcStan62M","MxRxGxA",2936,1,37,"hip-hop","artist"
"3mYX7vBPyawVDzf3ORen1z","Gionni Gioielli",8069,1,37,"hip-hop","artist"
"6GNKEqtVedvHFdhsdDtg2d","Entics",79082,1,37,"hip-hop","artist"
"7CkfnjbIBJisquAJCZv6oU","Samuel Heron",211094,1,36,"hip-hop","artist"
"0LhpncWOh05kPQvBxScHLI","Fritz Da Cat",59032,1,35,"hip-hop","artist"
"2AtGepWdw4TVBnE8cBszuL","Lanz Khan",15151,1,36,"hip-hop","artist"
"0sFpREh3MXhfRxOFZVStVG","Caneda",35522,1,36,"hip-hop","artist"
"1F5Nly0FV6dIoFNWPYTHMb","Spender",16733,1,36,"hip-hop","artist"
"3uPB5v8cgvDpoFySvjyMAx","St Luca Spenish",2893,1,36,"hip-hop","artist"
"26Db0VeiqD1i5GRFjUww3I","Maruego",37673,1,35,"hip-hop","artist"
"754BJcKdHZH7tj9xFq3hHO","OG Eastbull",106832,1,44,"hip-hop","artist"
"5cTFbgW0bCLX6aqRgFGwso","Gallagher",44508,1,38,"hip-hop","artist"
"2Im8m4STDBosjfmb5hmP80","Loredana",1097872,1,63,"hip-hop","artist"
"7q6vzSdJeqaTHBrSgvT7cZ","Moder",7624,1,34,"hip-hop","artist"
"0cqKe5aIp6diwasKdXzJF6","Louis Dee",5777,1,34,"hip-hop","artist"
"7yyNWNKL62huGbzW13Ghur","Wiser Keegan",4681,1,34,"hip-hop","artist"
"3wuFPIx6gNuRSTCixJEJaF","Primo Squarta",12843,1,34,"hip-hop","artist"
"1OyAhAPFH8Z4bIJewzy3mE","Biggie Paul",1837,1,34,"hip-hop","artist"
"6U8aUHDeArzovgvZazAK0z","Stokka & Madbuddy",42913,1,34,"hip-hop","artist"
"1PG5WX3LZJHM4p6HO4qMq8","Not Good",5811,1,33,"hip-hop","artist"
"2OauM2Rnpf6CBDwTtrS2vU","Slava",20886,1,33,"hip-hop","artist"
"39yVrqHlEzhfH3juNpSRvz","Trap God",18667,1,34,"hip-hop","artist"
"3V89pFmdgjqCarL1DT5DYI","TMHH",6145,1,33,"hip-hop","artist"
